A wojel tu'ux u taal	Ma' a wojel tu'ux u taali'	TYPE:NEG;SUBTYPE:DEC
Ma' táan k bin koonol tu k'íiwikil koonol	Ma' táan a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
Ma' taak in bin maan tu k'íiwikil koonoli'	Ma' k'a'abéet in bin maan tu k'íiwikil koonoli'	ASPECT:OBL
Ma' taak in bin maan tu k'íiwikil koonoli'	Ma' suuk in bin maan tu k'íiwikil koonoli'	ASPECT:CUS
Ma' taak in bin maan tu k'íiwikil koonoli'	Ma' káaj in bin maan tu k'íiwikil koonoli'	ASPECT:BEG;TENSE:PAS_SIM
Ma' k'a'abéet in bin maan tu k'íiwikil koonoli'	Ma' taak in bin maan tu k'íiwikil koonoli'	ASPECT:DES
Ma' k'a'abéet in bin maan tu k'íiwikil koonoli'	Ma' suuk in bin maan tu k'íiwikil koonoli'	ASPECT:CUS
Ma' k'a'abéet in bin maan tu k'íiwikil koonoli'	Ma' káaj in bin maan tu k'íiwikil koonoli'	ASPECT:BEG;TENSE:PAS_SIM
Ma' suuk in bin maan tu k'íiwikil koonoli'	Ma' taak in bin maan tu k'íiwikil koonoli'	ASPECT:DES
Ma' suuk in bin maan tu k'íiwikil koonoli'	Ma' k'a'abéet in bin maan tu k'íiwikil koonoli'	ASPECT:OBL
Ma' suuk in bin maan tu k'íiwikil koonoli'	Ma' káaj in bin maan tu k'íiwikil koonoli'	ASPECT:BEG;TENSE:PAS_SIM
Ma' wáaj jach k'a'abéet u bin merkaadoi'	Ma' wáaj jach k'a'abéet u bino'ob merkaadoi'	PERSON:3_PL
Ma' wáaj jach k'a'abéet u bino'ob merkaadoi'	Ma' wáaj jach k'a'abéet u bin merkaadoi'	PERSON:3_SI
Ma' wáaj tu bin merkaado	Ma' wáaj ta bine'ex merkaado	PERSON:2_PL
Ma' wáaj tu bin merkaado	Ma' wáaj tu bino'ob merkaado	PERSON:3_PL
Ma' wáaj ta bine'ex merkaado	Ma' wáaj tu bin merkaado	PERSON:2_PL
Ma' wáaj ta bine'ex merkaado	Ma' wáaj tu bino'ob merkaado	PERSON:3_PL
Ma' wáaj tu bino'ob merkaado	Ma' wáaj tu bin merkaado	PERSON:2_PL
Ma' wáaj tu bino'ob merkaado	Ma' wáaj ta bine'ex merkaado	PERSON:2_PL
Ma' kajakbale'ex tin wotochi'	Mix teech kajakbalech ta wotoch	PERSON:2_SI
Ma' kajakbale'ex tin wotochi'	Mix leti' kajakbal ta wotoch	PERSON:3_SI
Ma' kajakbale'ex tin wotochi'	Mix to'on kajakbalo'on ta wotoch	PERSON:1_PL
Ma' kajakbale'ex tin wotochi'	Mix te'ex kajakbale'ex ta wotoch	PERSON:2_PL
Ma' kajakbale'ex tin wotochi'	Mix leti'ob kajakbalo'ob ta wotoch	PERSON:3_PL
Mix teech kajakbalech ta wotoch	Ma' kajakbale'ex tin wotochi'	PERSON:2_PL
Mix teech kajakbalech ta wotoch	Mix leti' kajakbal ta wotoch	PERSON:3_SI
Mix teech kajakbalech ta wotoch	Mix to'on kajakbalo'on ta wotoch	PERSON:1_PL
Mix teech kajakbalech ta wotoch	Mix te'ex kajakbale'ex ta wotoch	PERSON:2_PL
Mix teech kajakbalech ta wotoch	Mix leti'ob kajakbalo'ob ta wotoch	PERSON:3_PL
Mix leti' kajakbal ta wotoch	Ma' kajakbale'ex tin wotochi'	PERSON:2_PL
Mix leti' kajakbal ta wotoch	Mix teech kajakbalech ta wotoch	PERSON:2_SI
Mix leti' kajakbal ta wotoch	Mix to'on kajakbalo'on ta wotoch	PERSON:1_PL
Mix leti' kajakbal ta wotoch	Mix te'ex kajakbale'ex ta wotoch	PERSON:2_PL
Mix leti' kajakbal ta wotoch	Mix leti'ob kajakbalo'ob ta wotoch	PERSON:3_PL
Mix to'on kajakbalo'on ta wotoch	Ma' kajakbale'ex tin wotochi'	PERSON:2_PL
Mix to'on kajakbalo'on ta wotoch	Mix teech kajakbalech ta wotoch	PERSON:2_SI
Mix to'on kajakbalo'on ta wotoch	Mix leti' kajakbal ta wotoch	PERSON:3_SI
Mix to'on kajakbalo'on ta wotoch	Mix te'ex kajakbale'ex ta wotoch	PERSON:2_PL
Mix to'on kajakbalo'on ta wotoch	Mix leti'ob kajakbalo'ob ta wotoch	PERSON:3_PL
Mix te'ex kajakbale'ex ta wotoch	Ma' kajakbale'ex tin wotochi'	PERSON:2_PL
Mix te'ex kajakbale'ex ta wotoch	Mix teech kajakbalech ta wotoch	PERSON:2_SI
Mix te'ex kajakbale'ex ta wotoch	Mix leti' kajakbal ta wotoch	PERSON:3_SI
Mix te'ex kajakbale'ex ta wotoch	Mix to'on kajakbalo'on ta wotoch	PERSON:1_PL
Mix te'ex kajakbale'ex ta wotoch	Mix leti'ob kajakbalo'ob ta wotoch	PERSON:3_PL
Mix leti'ob kajakbalo'ob ta wotoch	Ma' kajakbale'ex tin wotochi'	PERSON:2_PL
Mix leti'ob kajakbalo'ob ta wotoch	Mix teech kajakbalech ta wotoch	PERSON:2_SI
Mix leti'ob kajakbalo'ob ta wotoch	Mix leti' kajakbal ta wotoch	PERSON:3_SI
Mix leti'ob kajakbalo'ob ta wotoch	Mix to'on kajakbalo'on ta wotoch	PERSON:1_PL
Mix leti'ob kajakbalo'ob ta wotoch	Mix te'ex kajakbale'ex ta wotoch	PERSON:2_PL
Máax yéetel ts'o'ok a bin koonol tu kúuchil báaxal	Máax yéetel táant a bin koonol tu kúuchil báaxale'	ASPECT:IMM
Máax yéetel táant a bin koonol tu kúuchil báaxale'	Máax yéetel ts'o'ok a bin koonol tu kúuchil báaxal	ASPECT:TER
Máax yéetel je'el a bin koonol tu kúuchil báaxale'	Máax yéetel ts'o'ok a bin koonol tu kúuchil báaxal	ASPECT:TER;TENSE:PAS_SIM
Máax yéetel je'el a bin koonol tu kúuchil báaxale'	Máax yéetel táan a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:PRG
Máax yéetel je'el a bin koonol tu kúuchil báaxale'	Máax yéetel suuk a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:CUS
Máax yéetel je'el a bin koonol tu kúuchil báaxale'	Máax yéetel k'a'abéet a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:OBL
Máax yéetel je'el a bin koonol tu kúuchil báaxale'	Máax yéetel taak a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:DES
Máax yéetel táan a bin koonol tu kúuchil báaxal	Máax yéetel suuk a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:CUS
Máax yéetel táan a bin koonol tu kúuchil báaxal	Máax yéetel k'a'abéet a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:OBL
Máax yéetel táan a bin koonol tu kúuchil báaxal	Máax yéetel taak a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:DES
Máax yéetel suuk a bin koonol tu kúuchil báaxal	Máax yéetel táan a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:PRG
Máax yéetel suuk a bin koonol tu kúuchil báaxal	Máax yéetel k'a'abéet a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:OBL
Máax yéetel suuk a bin koonol tu kúuchil báaxal	Máax yéetel taak a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:DES
Máax yéetel k'a'abéet a bin koonol tu kúuchil báaxal	Máax yéetel táan a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:PRG
Máax yéetel k'a'abéet a bin koonol tu kúuchil báaxal	Máax yéetel suuk a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:CUS
Máax yéetel k'a'abéet a bin koonol tu kúuchil báaxal	Máax yéetel taak a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:DES
Máax yéetel taak a bin koonol tu kúuchil báaxal	Máax yéetel táan a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:PRG
Máax yéetel taak a bin koonol tu kúuchil báaxal	Máax yéetel suuk a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:CUS
Máax yéetel taak a bin koonol tu kúuchil báaxal	Máax yéetel k'a'abéet a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:OBL
Ook'in a bin ich kool	Ook'in u bino'ob tu koolo'ob	PERSON:3_PL
Ook'in a bin ich kool	Ook'in a bine'ex ta koole'ex	PERSON:2_PL
Ook'in u bino'ob tu koolo'ob	Ook'in a bin ich kool	PERSON:2_SI
Ook'in u bino'ob tu koolo'ob	Ook'in a bine'ex ta koole'ex	PERSON:2_PL
Ook'in a bine'ex ta koole'ex	Ook'in a bin ich kool	PERSON:2_SI
Ook'in a bine'ex ta koole'ex	Ook'in u bino'ob tu koolo'ob	PERSON:3_PL
Ook'in a bin merkaado	Ook'in u bino'ob merkaado	PERSON:3_PL
Ook'in a bin merkaado	Ook'in a bine'ex merkaado	PERSON:2_PL
Ook'in u bino'ob merkaado	Ook'in a bin merkaado	PERSON:2_SI
Ook'in u bino'ob merkaado	Ook'in a bine'ex merkaado	PERSON:2_PL
Ook'in a bine'ex merkaado	Ook'in a bin merkaado	PERSON:2_SI
Ook'in a bine'ex merkaado	Ook'in u bino'ob merkaado	PERSON:3_PL
Ook'in a bin tu k'íiwikil koonol	Ook'in u bino'ob k'íiwikil koonol	PERSON:3_PL
Ook'in a bin tu k'íiwikil koonol	Ook'in a bine'ex k'íiwikil koonol	PERSON:2_PL
Ook'in u bino'ob k'íiwikil koonol	Ook'in a bin tu k'íiwikil koonol	PERSON:2_SI
Ook'in u bino'ob k'íiwikil koonol	Ook'in a bine'ex k'íiwikil koonol	PERSON:2_PL
Ook'in a bine'ex k'íiwikil koonol	Ook'in a bin tu k'íiwikil koonol	PERSON:2_SI
Ook'in a bine'ex k'íiwikil koonol	Ook'in u bino'ob k'íiwikil koonol	PERSON:3_PL
Sáansamal ku bino'ob koonol merkaado	Sáansamal ka bine'ex koonol merkaado	PERSON:2_PL
Sáansamal ka bine'ex koonol merkaado	Sáansamal ku bino'ob koonol merkaado	PERSON:3_PL
Sáansamal ka bin merkaado	Sáansamal ku bin merkaado	PERSON:3_SI
Sáansamal ka bin merkaado	Sáansamal ku bino'ob merkaado	PERSON:3_PL
Sáansamal ka bin merkaado	Sáansamal ka bine'ex merkaado	PERSON:2_PL
Sáansamal ku bin merkaado	Sáansamal ka bin merkaado	PERSON:2_SI
Sáansamal ku bin merkaado	Sáansamal ku bino'ob merkaado	PERSON:3_PL
Sáansamal ku bin merkaado	Sáansamal ka bine'ex merkaado	PERSON:2_PL
Sáansamal ku bino'ob merkaado	Sáansamal ka bin merkaado	PERSON:2_SI
Sáansamal ku bino'ob merkaado	Sáansamal ku bin merkaado	PERSON:3_SI
Sáansamal ku bino'ob merkaado	Sáansamal ka bine'ex merkaado	PERSON:2_PL
Sáansamal ka bine'ex merkaado	Sáansamal ka bin merkaado	PERSON:2_SI
Sáansamal ka bine'ex merkaado	Sáansamal ku bin merkaado	PERSON:3_SI
Sáansamal ka bine'ex merkaado	Sáansamal ku bino'ob merkaado	PERSON:3_PL
Tu yilaj wáaj u sáastal tu kaajal	k ilaj wáaj u sáastal k kaajal	PERSON:1_PL
Tu yilaj wáaj u sáastal tu kaajal	Tu yilo'ob wáaj u sáastal tu kaajalo'ob	PERSON:3_PL
Tu yilaj wáaj u sáastal tu kaajal	Ta wile'ex wáaj u sáastal ta kaajale'ex	PERSON:2_PL
k ilaj wáaj u sáastal k kaajal	Tu yilaj wáaj u sáastal tu kaajal	PERSON:3_SI
k ilaj wáaj u sáastal k kaajal	Tu yilo'ob wáaj u sáastal tu kaajalo'ob	PERSON:3_PL
k ilaj wáaj u sáastal k kaajal	Ta wile'ex wáaj u sáastal ta kaajale'ex	PERSON:2_PL
Tu yilo'ob wáaj u sáastal tu kaajalo'ob	Tu yilaj wáaj u sáastal tu kaajal	PERSON:3_SI
Tu yilo'ob wáaj u sáastal tu kaajalo'ob	k ilaj wáaj u sáastal k kaajal	PERSON:1_PL
Tu yilo'ob wáaj u sáastal tu kaajalo'ob	Ta wile'ex wáaj u sáastal ta kaajale'ex	PERSON:2_PL
Ta wile'ex wáaj u sáastal ta kaajale'ex	Tu yilaj wáaj u sáastal tu kaajal	PERSON:3_SI
Ta wile'ex wáaj u sáastal ta kaajale'ex	k ilaj wáaj u sáastal k kaajal	PERSON:1_PL
Ta wile'ex wáaj u sáastal ta kaajale'ex	Tu yilo'ob wáaj u sáastal tu kaajalo'ob	PERSON:3_PL
Ta'aytak a chukik u ja'abil	Ta'aytak u chukik u ja'abil	PERSON:3_SI
Ta'aytak a chukik u ja'abil	Ta'aytak k chukik u ja'abil	PERSON:1_PL
Ta'aytak a chukik u ja'abil	Ta'aytak a chukike'ex u ja'abil	PERSON:2_PL
Ta'aytak a chukik u ja'abil	Ta'aytak u chukiko'ob u ja'abil	PERSON:3_PL
Ta'aytak u chukik u ja'abil	Ta'aytak a chukik u ja'abil	PERSON:2_SI
Ta'aytak u chukik u ja'abil	Ta'aytak k chukik u ja'abil	PERSON:1_PL
Ta'aytak u chukik u ja'abil	Ta'aytak a chukike'ex u ja'abil	PERSON:2_PL
Ta'aytak u chukik u ja'abil	Ta'aytak u chukiko'ob u ja'abil	PERSON:3_PL
Ta'aytak k chukik u ja'abil	Ta'aytak a chukik u ja'abil	PERSON:2_SI
Ta'aytak k chukik u ja'abil	Ta'aytak u chukik u ja'abil	PERSON:3_SI
Ta'aytak k chukik u ja'abil	Ta'aytak a chukike'ex u ja'abil	PERSON:2_PL
Ta'aytak k chukik u ja'abil	Ta'aytak u chukiko'ob u ja'abil	PERSON:3_PL
Ta'aytak a chukike'ex u ja'abil	Ta'aytak a chukik u ja'abil	PERSON:2_SI
Ta'aytak a chukike'ex u ja'abil	Ta'aytak u chukik u ja'abil	PERSON:3_SI
Ta'aytak a chukike'ex u ja'abil	Ta'aytak k chukik u ja'abil	PERSON:1_PL
Ta'aytak a chukike'ex u ja'abil	Ta'aytak u chukiko'ob u ja'abil	PERSON:3_PL
Ta'aytak u chukiko'ob u ja'abil	Ta'aytak a chukik u ja'abil	PERSON:2_SI
Ta'aytak u chukiko'ob u ja'abil	Ta'aytak u chukik u ja'abil	PERSON:3_SI
Ta'aytak u chukiko'ob u ja'abil	Ta'aytak k chukik u ja'abil	PERSON:1_PL
Ta'aytak u chukiko'ob u ja'abil	Ta'aytak a chukike'ex u ja'abil	PERSON:2_PL
Ma' u chuko'ob u ja'abili'	Ma' wáaj u chuko'ob u ja'abili'	TYPE:NEG;SUBTYPE:INT;MODE:SUB;ADVTENSE:NA;MARK:NI
Táan in wilikech te' tu kúuchil báaxalo'	Kin wilikech te' tu kúuchil báaxalo'	ASPECT:HAB
Táan in wilikech te' tu kúuchil báaxalo'	Suuk in wilikech te' tu kúuchil báaxalo'	ASPECT:CUS
Táan in wilikech te' tu kúuchil báaxalo'	K'a'abéet in wilikech te' tu kúuchil báaxalo'	ASPECT:OBL
Kin wilikech te' tu kúuchil báaxalo'	Táan in wilikech te' tu kúuchil báaxalo'	ASPECT:PRG
Kin wilikech te' tu kúuchil báaxalo'	Suuk in wilikech te' tu kúuchil báaxalo'	ASPECT:CUS
Kin wilikech te' tu kúuchil báaxalo'	K'a'abéet in wilikech te' tu kúuchil báaxalo'	ASPECT:OBL
Suuk in wilikech te' tu kúuchil báaxalo'	Táan in wilikech te' tu kúuchil báaxalo'	ASPECT:PRG
Suuk in wilikech te' tu kúuchil báaxalo'	Kin wilikech te' tu kúuchil báaxalo'	ASPECT:HAB
Suuk in wilikech te' tu kúuchil báaxalo'	K'a'abéet in wilikech te' tu kúuchil báaxalo'	ASPECT:OBL
K'a'abéet in wilikech te' tu kúuchil báaxalo'	Táan in wilikech te' tu kúuchil báaxalo'	ASPECT:PRG
K'a'abéet in wilikech te' tu kúuchil báaxalo'	Kin wilikech te' tu kúuchil báaxalo'	ASPECT:HAB
K'a'abéet in wilikech te' tu kúuchil báaxalo'	Suuk in wilikech te' tu kúuchil báaxalo'	ASPECT:CUS
Tan a k'íilkab	Tan k k'íilkab	PERSON:1_PL
Tan a k'íilkab	Tan a k'íilkabe'ex	PERSON:2_PL
Tan a k'íilkab	Tan u k'íilkabo'ob	PERSON:3_PL
Tan k k'íilkab	Tan a k'íilkab	PERSON:2_SI
Tan k k'íilkab	Tan a k'íilkabe'ex	PERSON:2_PL
Tan k k'íilkab	Tan u k'íilkabo'ob	PERSON:3_PL
Tan a k'íilkabe'ex	Tan a k'íilkab	PERSON:2_SI
Tan a k'íilkabe'ex	Tan k k'íilkab	PERSON:1_PL
Tan a k'íilkabe'ex	Tan u k'íilkabo'ob	PERSON:3_PL
Tan u k'íilkabo'ob	Tan a k'íilkab	PERSON:2_SI
Tan u k'íilkabo'ob	Tan k k'íilkab	PERSON:1_PL
Tan u k'íilkabo'ob	Tan a k'íilkabe'ex	PERSON:2_PL
Te' a taal tu kaajil Kopomae'	Te' u taal tu kaajil Kopomae'	PERSON:3_SI
Te' a taal tu kaajil Kopomae'	Te' k taal tu kaajil Kopomae'	PERSON:1_PL
Te' a taal tu kaajil Kopomae'	Te' a taale'ex tu kaajil Kopomae'	PERSON:2_PL
Te' a taal tu kaajil Kopomae'	Te' u taalo'ob tu kaajil Kopomae'	PERSON:3_PL
Te' u taal tu kaajil Kopomae'	Te' a taal tu kaajil Kopomae'	PERSON:2_SI
Te' u taal tu kaajil Kopomae'	Te' k taal tu kaajil Kopomae'	PERSON:1_PL
Te' u taal tu kaajil Kopomae'	Te' a taale'ex tu kaajil Kopomae'	PERSON:2_PL
Te' u taal tu kaajil Kopomae'	Te' u taalo'ob tu kaajil Kopomae'	PERSON:3_PL
Te' k taal tu kaajil Kopomae'	Te' a taal tu kaajil Kopomae'	PERSON:2_SI
Te' k taal tu kaajil Kopomae'	Te' u taal tu kaajil Kopomae'	PERSON:3_SI
Te' k taal tu kaajil Kopomae'	Te' a taale'ex tu kaajil Kopomae'	PERSON:2_PL
Te' k taal tu kaajil Kopomae'	Te' u taalo'ob tu kaajil Kopomae'	PERSON:3_PL
Te' a taale'ex tu kaajil Kopomae'	Te' a taal tu kaajil Kopomae'	PERSON:2_SI
Te' a taale'ex tu kaajil Kopomae'	Te' u taal tu kaajil Kopomae'	PERSON:3_SI
Te' a taale'ex tu kaajil Kopomae'	Te' k taal tu kaajil Kopomae'	PERSON:1_PL
Te' a taale'ex tu kaajil Kopomae'	Te' u taalo'ob tu kaajil Kopomae'	PERSON:3_PL
Te' u taalo'ob tu kaajil Kopomae'	Te' a taal tu kaajil Kopomae'	PERSON:2_SI
Te' u taalo'ob tu kaajil Kopomae'	Te' u taal tu kaajil Kopomae'	PERSON:3_SI
Te' u taalo'ob tu kaajil Kopomae'	Te' k taal tu kaajil Kopomae'	PERSON:1_PL
Te' u taalo'ob tu kaajil Kopomae'	Te' a taale'ex tu kaajil Kopomae'	PERSON:2_PL
Te'exe' ma' jbúule'ex wáaj	Te'exe' jbúule'ex wáaj	TYPE:AFF;SUBTYPE:INT
Leti'e' yaan wáaj meyaj ti' biología	To'onen yaanto'on wáaj meyaj ti' biología	PERSON:1_PL
Leti'e' yaan wáaj meyaj ti' biología	Te'exe' yaante'ex wáaj meyaj ti' biología	PERSON:2_PL
To'onen yaanto'on wáaj meyaj ti' biología	Leti'e' yaan wáaj meyaj ti' biología	PERSON:3_SI
To'onen yaanto'on wáaj meyaj ti' biología	Te'exe' yaante'ex wáaj meyaj ti' biología	PERSON:2_PL
Te'exe' yaante'ex wáaj meyaj ti' biología	Leti'e' yaan wáaj meyaj ti' biología	PERSON:3_SI
Te'exe' yaante'ex wáaj meyaj ti' biología	To'onen yaanto'on wáaj meyaj ti' biología	PERSON:1_PL
Leti'e' ma' jbúul wáaj	To'one' ma' jbúulo'on wáaj	PERSON:1_PL
Leti'e' ma' jbúul wáaj	Te'exe' ma' jbúule'ex wáaj	PERSON:2_PL
To'one' ma' jbúulo'on wáaj	Leti'e' ma' jbúul wáaj	PERSON:3_SI
To'one' ma' jbúulo'on wáaj	Te'exe' ma' jbúule'ex wáaj	PERSON:2_PL
Te'exe' ma' jbúule'ex wáaj	Leti'e' ma' jbúul wáaj	PERSON:3_SI
Te'exe' ma' jbúule'ex wáaj	To'one' ma' jbúulo'on wáaj	PERSON:1_PL
Leti'e' ma' wáaj áak'ab ku bin merkaadoi'	To'one' ma' wáaj áak'ab kek bin merkaadoi'	PERSON:1_PL
Leti'e' ma' wáaj áak'ab ku bin merkaadoi'	Te'exe' ma' wáaj áak'ab ka bine'ex merkaadoi'	PERSON:2_PL
To'one' ma' wáaj áak'ab kek bin merkaadoi'	Leti'e' ma' wáaj áak'ab ku bin merkaadoi'	PERSON:3_SI
To'one' ma' wáaj áak'ab kek bin merkaadoi'	Te'exe' ma' wáaj áak'ab ka bine'ex merkaadoi'	PERSON:2_PL
Te'exe' ma' wáaj áak'ab ka bine'ex merkaadoi'	Leti'e' ma' wáaj áak'ab ku bin merkaadoi'	PERSON:3_SI
Te'exe' ma' wáaj áak'ab ka bine'ex merkaadoi'	To'one' ma' wáaj áak'ab kek bin merkaadoi'	PERSON:1_PL
Leti'e' áak'ab wáaj ku bin merkaado	To'one' áak'ab wáaj kek bin merkaado	PERSON:1_PL
Leti'e' áak'ab wáaj ku bin merkaado	Te'exe' áak'ab wáaj ka bine'ex merkaado	PERSON:2_PL
To'one' áak'ab wáaj kek bin merkaado	Leti'e' áak'ab wáaj ku bin merkaado	PERSON:3_SI
To'one' áak'ab wáaj kek bin merkaado	Te'exe' áak'ab wáaj ka bine'ex merkaado	PERSON:2_PL
Te'exe' áak'ab wáaj ka bine'ex merkaado	Leti'e' áak'ab wáaj ku bin merkaado	PERSON:3_SI
Te'exe' áak'ab wáaj ka bine'ex merkaado	To'one' áak'ab wáaj kek bin merkaado	PERSON:1_PL
Teche' Yaan tech meyaj biología	Leti'e' yaan meyaj ti' biología	PERSON:3_SI
Teche' Yaan tech meyaj biología	To'onen yaanto'on meyaj biología	PERSON:1_PL
Teche' Yaan tech meyaj biología	Te'exe' yaante'ex meyaj biología	PERSON:2_PL
Leti'e' yaan meyaj ti' biología	Teche' Yaan tech meyaj biología	PERSON:2_SI
Leti'e' yaan meyaj ti' biología	To'onen yaanto'on meyaj biología	PERSON:1_PL
Leti'e' yaan meyaj ti' biología	Te'exe' yaante'ex meyaj biología	PERSON:2_PL
To'onen yaanto'on meyaj biología	Teche' Yaan tech meyaj biología	PERSON:2_SI
To'onen yaanto'on meyaj biología	Leti'e' yaan meyaj ti' biología	PERSON:3_SI
To'onen yaanto'on meyaj biología	Te'exe' yaante'ex meyaj biología	PERSON:2_PL
Te'exe' yaante'ex meyaj biología	Teche' Yaan tech meyaj biología	PERSON:2_SI
Te'exe' yaante'ex meyaj biología	Leti'e' yaan meyaj ti' biología	PERSON:3_SI
Te'exe' yaante'ex meyaj biología	To'onen yaanto'on meyaj biología	PERSON:1_PL
Teche' Yaan tech u áanalte'il a xook matemáticas	Leti'e' yaan u áanalte'il u xook matemáticas	PERSON:3_SI
Teche' Yaan tech u áanalte'il a xook matemáticas	To'onen yaanto'on u áanalte'il k xook matemáticas	PERSON:1_PL
Teche' Yaan tech u áanalte'il a xook matemáticas	Te'exe' yaante'ex u áanalte'il u xookil matemáticas	PERSON:2_PL
Leti'e' yaan u áanalte'il u xook matemáticas	Teche' Yaan tech u áanalte'il a xook matemáticas	PERSON:2_SI
Leti'e' yaan u áanalte'il u xook matemáticas	To'onen yaanto'on u áanalte'il k xook matemáticas	PERSON:1_PL
Leti'e' yaan u áanalte'il u xook matemáticas	Te'exe' yaante'ex u áanalte'il u xookil matemáticas	PERSON:2_PL
To'onen yaanto'on u áanalte'il k xook matemáticas	Teche' Yaan tech u áanalte'il a xook matemáticas	PERSON:2_SI
To'onen yaanto'on u áanalte'il k xook matemáticas	Leti'e' yaan u áanalte'il u xook matemáticas	PERSON:3_SI
To'onen yaanto'on u áanalte'il k xook matemáticas	Te'exe' yaante'ex u áanalte'il u xookil matemáticas	PERSON:2_PL
Te'exe' yaante'ex u áanalte'il u xookil matemáticas	Teche' Yaan tech u áanalte'il a xook matemáticas	PERSON:2_SI
Te'exe' yaante'ex u áanalte'il u xookil matemáticas	Leti'e' yaan u áanalte'il u xook matemáticas	PERSON:3_SI
Te'exe' yaante'ex u áanalte'il u xookil matemáticas	To'onen yaanto'on u áanalte'il k xook matemáticas	PERSON:1_PL
Teche' Yaan tech xook ti' español	Leti'e' yaan xook ti' español	PERSON:3_SI
Teche' Yaan tech xook ti' español	To'onen yaanto'on xook ti' español	PERSON:1_PL
Teche' Yaan tech xook ti' español	Te'exe' yaante'ex xook ti' español	PERSON:2_PL
Leti'e' yaan xook ti' español	Teche' Yaan tech xook ti' español	PERSON:2_SI
Leti'e' yaan xook ti' español	To'onen yaanto'on xook ti' español	PERSON:1_PL
Leti'e' yaan xook ti' español	Te'exe' yaante'ex xook ti' español	PERSON:2_PL
To'onen yaanto'on xook ti' español	Teche' Yaan tech xook ti' español	PERSON:2_SI
To'onen yaanto'on xook ti' español	Leti'e' yaan xook ti' español	PERSON:3_SI
To'onen yaanto'on xook ti' español	Te'exe' yaante'ex xook ti' español	PERSON:2_PL
Te'exe' yaante'ex xook ti' español	Teche' Yaan tech xook ti' español	PERSON:2_SI
Te'exe' yaante'ex xook ti' español	Leti'e' yaan xook ti' español	PERSON:3_SI
Te'exe' yaante'ex xook ti' español	To'onen yaanto'on xook ti' español	PERSON:1_PL
Leti'e' ajkoonol	Teche' ajkoonolech	PERSON:2_SI
Leti'e' ajkoonol	To'one' ajkoonolo'on	PERSON:1_PL
Leti'e' ajkoonol	Te'exe' ajkoonole'ex	PERSON:2_PL
Teche' ajkoonolech	Leti'e' ajkoonol	PERSON:3_SI
Teche' ajkoonolech	To'one' ajkoonolo'on	PERSON:1_PL
Teche' ajkoonolech	Te'exe' ajkoonole'ex	PERSON:2_PL
To'one' ajkoonolo'on	Leti'e' ajkoonol	PERSON:3_SI
To'one' ajkoonolo'on	Teche' ajkoonolech	PERSON:2_SI
To'one' ajkoonolo'on	Te'exe' ajkoonole'ex	PERSON:2_PL
Te'exe' ajkoonole'ex	Leti'e' ajkoonol	PERSON:3_SI
Te'exe' ajkoonole'ex	Teche' ajkoonolech	PERSON:2_SI
Te'exe' ajkoonole'ex	To'one' ajkoonolo'on	PERSON:1_PL
Leti'e' ajkoonol ichil merkaado	Teche' ajkoonolech ichil merkaado	PERSON:2_SI
Leti'e' ajkoonol ichil merkaado	To'one' ajkoonolo'on ichil merkaado	PERSON:1_PL
Leti'e' ajkoonol ichil merkaado	Te'exe' ajkoonole'ex ichil merkaado	PERSON:2_PL
Teche' ajkoonolech ichil merkaado	Leti'e' ajkoonol ichil merkaado	PERSON:3_SI
Teche' ajkoonolech ichil merkaado	To'one' ajkoonolo'on ichil merkaado	PERSON:1_PL
Teche' ajkoonolech ichil merkaado	Te'exe' ajkoonole'ex ichil merkaado	PERSON:2_PL
To'one' ajkoonolo'on ichil merkaado	Leti'e' ajkoonol ichil merkaado	PERSON:3_SI
To'one' ajkoonolo'on ichil merkaado	Teche' ajkoonolech ichil merkaado	PERSON:2_SI
To'one' ajkoonolo'on ichil merkaado	Te'exe' ajkoonole'ex ichil merkaado	PERSON:2_PL
Te'exe' ajkoonole'ex ichil merkaado	Leti'e' ajkoonol ichil merkaado	PERSON:3_SI
Te'exe' ajkoonole'ex ichil merkaado	Teche' ajkoonolech ichil merkaado	PERSON:2_SI
Te'exe' ajkoonole'ex ichil merkaado	To'one' ajkoonolo'on ichil merkaado	PERSON:1_PL
