Source	Target	Change
Jweeno'ob merkaado	Jweeno'ob merkaado	NOCHANGE
Te'exe' ti' kajakbale'ex tu yotoche'	Te'exe' ti' kajakbale'ex tu yotoche'	NOCHANGE
Táan a bin koonol tu k'íiwikil koonol	Táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Ta'aytak u chukik u ja'abil	Ta'aytak a chukike'ex u ja'abil	PERSON:2_PL
Ma' tan k k'íilkabi'	Ma' tan u k'íilkabi'	PERSON:3_SI
Yaan wáaj ek bin ich kool	Yaan wáaj a bin ich kool	PERSON:2_SI
Táan k bin koonol tu k'íiwikil koonol	Táan k bin koonol tu k'íiwikil koonol	NOCHANGE
Tene' ma' ts'oka'an in beeli'	Ma' ts'oka'an in beeli'	TYPE:NEG;SUBTYPE:DEC
Teche' Yaan tech meyaj biología	Te'exe' yaante'ex meyaj biología	PERSON:2_PL
Ma' k'aja'ante'ex buka'aj a ja'abile'exi'	Ma' k'aja'anto'on buka'aj k ja'abili'	PERSON:1_PL
Táan a meyaje'ex ich kool	Táan u meyaj tu kool	PERSON:3_SI
Yaan wáaj k bin koonol tu k'íiwikil koonol	Yaan wáaj u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Máax yéetel je'el a bin koonol tu kúuchil báaxale'	Máax yéetel k'a'abéet a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:OBL
k'a'abéet in bin koonol tu k'íiwikil koonol	Taak in bin koonol tu k'íiwikil koonol	ASPECT:DES
To'onen yaanto'on xook ti' español	To'onen yaanto'on xook ti' español	NOCHANGE
Yaan a suute'ex xook tu naajil xook	Yaan k suut tu naajil xook	PERSON:1_PL
Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	Ma' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Yaan wáaj in bin koonol merkaado	Yaan wáaj in bin koonol merkaado	NOCHANGE
Sáansamal ka bine'ex koonol merkaado	Sáansamal ku bino'ob koonol merkaado	PERSON:3_PL
Tu núukaj buka'aj u ja'abilo'ob	Tu núukaj buka'aj u ja'abilo'ob	NOCHANGE
K'a'abéet in manik suuts' pak'áal tu k'íiwikil koonol	Yaan in manik ch'ujuko'ob tu k'íiwikil koonol	ASPECT:COM
Kin manik nikte'ob tu k'íiwikil koonol	K'a'abéet in manik suuts' pak'áal tu k'íiwikil koonol	ASPECT:OBL
Te'exe' bine'ex áalkab te' taam paarkéeo'	Leti'o'obe' bino'ob áalkab te' taam paarkéeo'	PERSON:3_PL
To'one' ti' k taali'	Teche' ti' a taali'	PERSON:2_SI
Ta meentike'ex janal ich kool	Tu meentiko'ob janal ich kool	PERSON:3_PL
Táan wáaj a bine'ex koonol merkaado	Táan wáaj a bine'ex koonol merkaado	NOCHANGE
K'a'abéet in manik suuts' pak'áal tu k'íiwikil koonol	Táant in manik ch'ujuk pak'áal tu k'íiwikil koonole'	ASPECT:IMM;TENSE:PAS_SIM
To'one' ma' jbúulo'on wáaj	To'one' jbúulo'on wáaj	TYPE:AFF;SUBTYPE:INT
Tu kaxko'ob a najil	Táan ek kaxtik a najil	PERSON:1_PL
Ma' ts'oka'an u beelo'obi'	Ma' ts'oka'an u beelo'obi'	NOCHANGE
Táan u bino'ob koonol merkaado	Táan a bine'ex koonol merkaado	PERSON:2_PL
Yaan wáaj a bine'ex ich kool	Yaan wáaj a bin ich kool	PERSON:2_SI
Ma' táan u bino'ob koonol merkaadoi'	Ma' táan a bine'ex koonol merkaadoi'	PERSON:2_PL
Te'exe' ts'oka'an wáaj a beele'ex	Te'exe' ts'oka'an wáaj a beele'ex	NOCHANGE
Ma' tek u'uyik wáaj ooxoli'	Ma' tu yu'ubiko'ob wáaj ooxoli'	PERSON:3_PL
Ta núukaje'ex buka'aj a ja'abile'ex	Ta núukaj buka'aj a ja'abil	PERSON:2_SI
To'one' ma' áak'ab wáaj k bin tu k'íiwikil koonoli'	To'one' ma' áak'ab wáaj k bin tu k'íiwikil koonoli'	NOCHANGE
Te'exe' ka wu'uyike'ex wáaj ooxol	To'one' k u'uyik wáaj ooxol	PERSON:1_PL
Táan in suut tu naajil xook	Táan in suut tu naajil xook	NOCHANGE
Ma' táan in bin koonol tu k'íiwikil koonol	Ma' táan in bin koonol tu k'íiwikil koonol	NOCHANGE
Táan a báaxal tu naajil báaxal	Táan k báaxal tu naajil báaxal	PERSON:1_PL
Tu kaxko'ob a najil	Tan k kaxtik a najil	PERSON:1_PL
Leti'obe' táan u bino'ob koonol tu k'íiwikil koonol	Leti'obe' táan u bino'ob koonol tu k'íiwikil koonol	NOCHANGE
Leti'e' ma' jbúul wáaj	Te'exe' ma' jbúule'ex wáaj	PERSON:2_PL
Tu'ux kajakbale'ex	Tu'ux kajakbalo'on	PERSON:1_PL
Ta míistik in najil	Ta míistik in najil	NOCHANGE
Jach wáaj k'a'abéet in bin k'íiwikil koonol	Jach k'a'abéet wáaj u bin tu k'íiwikil koonol	PERSON:3_SI
Jbinen yéetel in éetailo'ob merkaado	Jbinen yéetel in éetailo'ob merkaado	NOCHANGE
To'one' ajkoonolo'on ichil merkaado	Teche' ajkoonolech ichil merkaado	PERSON:2_SI
Jach k'a'abéet u bino'ob merkaado	Jach k'a'abéet u bin merkaado	PERSON:3_SI
Yaan k boon tu naajil xook	Yaan k boon tu naajil xook	NOCHANGE
Yaan wáaj a bin koonol tu k'íiwikil koonol	Yaan wáaj k bin koonol tu k'íiwikil koonol	PERSON:1_PL
Táan wáaj a bine'ex ich kool	Táan wáaj u bin ich kool	PERSON:2_SI
Tu núukaj buka'aj u ja'abil	Tek núukaj buka'aj k ja'abil	PERSON:1_PL
Ma' táan a bin koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Teche' ka bin páak ich kool	Leti'e' ku bin páak ich kool	PERSON:3_SI
To'one' áak'ab k bin tu k'íiwikil koonol	Leti'e' áak'ab ku bin tu k'íiwikil koonol	PERSON:3_SI
Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	ASPECT:DES
Teche' ts'oka'an wáaj a beel	Leti'e' ts'oka'an wáaj u beel	PERSON:3_SI
Ta'aytak u chukik u ja'abil	Ta'aytak u chukik u ja'abil	NOCHANGE
Tu'ux k'íiwikil koonol suuk a jóok'ol koonol	Tu'ux k'íiwikil koonol taak a jóok'ol koonol	ASPECT:DES
Yaan wáaj in jóok'ol koonol tu k'íiwikil koonol	Yaan wáaj in jóok'ol koonol tu k'íiwikil koonol	NOCHANGE
Yaan wáaj a bin koonol tu k'íiwikil koonol	Yaan wáaj u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Leti'e' yaan meyaj ti' biología	Te'exe' yaante'ex meyaj biología	PERSON:2_PL
Ma' tin wilike'ex tu k'íiwikil koonol	Ma' tin wilike'ex tu k'íiwikil koonol	NOCHANGE
Teche' Yaan tech xook ti' español	Leti'e' yaan xook ti' español	PERSON:3_SI
Yaan wáaj u xook tu naajil xook	Yaan wáaj k xook tu naajil xook	PERSON:1_PL
Táan wáaj u xook tu naajil xook	Táan wáaj u xooko'ob tu naajil xook	PERSON:3_PL
Táan a báaxal tu naajil báaxal	Táan a báaxale'ex báaxal tu naajil báaxal	PERSON:2_PL
Te' u taalo'ob tu kaajil Kopomae'	Te' u taal tu kaajil Kopomae'	PERSON:3_SI
Jayp'éel k'iino'ob ka bine'ex merkaado	Jayp'éel k'iino'ob ku bin merkaado	PERSON:3_SI
Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	Yaan wáaj u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Máax yéetel je'el a bin koonol tu kúuchil báaxale'	Máax yéetel táan a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:PRG
Teche' ma' jbúulech wáaj	Teche' ma' jbúulech wáaj	NOCHANGE
Táant in manik ya'abach ba'alo'ob tu k'íiwikil koonole'	Káaj in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:BEG;TENSE:PAS_SIM
Yaan wáaj a bine'ex koonol tu k'íiwikil koonol	Yaan wáaj a bin koonol tu k'íiwikil koonol	PERSON:2_SI
Ma' táan ek bin ich kooli'	Ma' táan a bine'ex ich kooli'	PERSON:2_PL
Ma' ts'oka'an u beeli'	Ma' ts'oka'an k beeli'	PERSON:1_PL
Tu núukaj buka'aj u ja'abilo'ob	Tek núukaj buka'aj k ja'abil	PERSON:1_PL
Teche' Yaan tech xook ti' español	Teche' Yaan tech xook ti' español	NOCHANGE
Leti'e' múul kajakbal tek éetel	Leti'e' múul kajakbal tek éetel	NOCHANGE
Yaan wáaj u bin ich kool	Yaan wáaj ek bin ich kool	PERSON:1_PL
Tu'ux k'íiwikil koonol k'a'abéet a jóok'ol koonol	Tu'ux k'íiwikil koonol yaan a jóok'ol koonol	ASPECT:COM
Sáansamal kin bin merkaado	Sáansamal kin bin merkaado	NOCHANGE
Máax yéetel táant a bin koonol tu kúuchil báaxale'	Máax yéetel ts'o'ok a bin koonol tu kúuchil báaxal	ASPECT:TER
Jach k'a'abéet a bine'ex merkaado	Jach k'a'abéet in bin merkaado	PERSON:1_SI
Tu'ux kajakbalech	Tu'ux kajakbalech	NOCHANGE
Ma' u yojelo'ob u ja'abili'	Ma' a wojele'ex u ja'abili'	PERSON:2_PL
Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol	Káaj in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:BEG;TENSE:PAS_SIM
Yaan wáaj a báaxale'ex báaxal tu naajil báaxal	Yaan wáaj u báaxalo'ob tu naajil báaxal	PERSON:3_PL
Te'exe' áak'ab wáaj ka bine'ex tu k'íiwikil koonol	Te'exe' áak'ab wáaj ka bine'ex tu k'íiwikil koonol	NOCHANGE
Leti'obe' ti' kajakbalo'ob tu yotoche'	Leti'obe' ti' kajakbalo'ob tu yotoche'	NOCHANGE
Yaan wáaj k bin koonol tu k'íiwikil koonol	Yaan wáaj a bine'ex koonol tu k'íiwikil koonol	PERSON:2_PL
Ba'ax k'iin a bin merkaado	Ba'ax k'iin a bin merkaado	NOCHANGE
Leti'e' ti' kajakbal tu yotoche'	Leti'e' ti' kajakbal tu yotoche'	NOCHANGE
k ilaj wáaj u sáastal k kaajal	Tu yilo'ob wáaj u sáastal tu kaajalo'ob	PERSON:3_PL
Teche' a k'aaba'e'	Teche' a k'aaba'e'	NOCHANGE
Suuk in suut koonol merkaado	Káaj in suut koonol merkaado	ASPECT:BEG;TENSE:PAS_SIM
Tene' ajkoonolen ichil merkaado	Tene' ajkoonolen ichil merkaado	NOCHANGE
Jach k'a'abéet a bine'ex tu k'íiwikil koonol	Jach k'a'abéet u bino'ob tu k'íiwikil koonol	PERSON:3_PL
Yaan wáaj a bin ich kool	Yaan wáaj u bin ich kool	PERSON:3_SI
To'one' kajakbalo'on weye'	Teche' kajakbalech weye'	PERSON:2_SI
Yaan u báaxalo'ob tu naajil báaxal	Yaan a báaxal tu naajil báaxal	PERSON:2_SI
Ma' tin wilikech tu k'íiwikil koonol	Ma' tin wiliko'ob tu k'íiwikil koonol	PERSON:1_SI
Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	Káaj in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:BEG;TENSE:PAS_SIM
Suuk in suut koonol merkaado	Kin in suut koonol merkaado	ASPECT:HAB
Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:CUS
Máax yéetel k'a'abéet a bin koonol tu kúuchil báaxal	Máax yéetel k'a'abéet a bin koonol tu kúuchil báaxal	NOCHANGE
Yaan wáaj u xooko'ob tu naajil xook	Yaan wáaj u xook tu naajil xook	PERSON:3_SI
Yaan wáaj k bin koonol merkaado	Yaan wáaj u bin koonol merkaado	PERSON:3_SI
Tene' in k'aaba'e'	Tene' in k'aaba'e'	NOCHANGE
Yaan wáaj u báaxal tu naajil báaxal	Yaan wáaj u báaxal tu naajil báaxal	NOCHANGE
Jach k'a'abéet u bino'ob merkaado	Jach k'a'abéet u bino'ob merkaado	NOCHANGE
Táan in wilikech te' tu kúuchil báaxalo'	Suuk in wilikech te' tu kúuchil báaxalo'	ASPECT:CUS
Te'exe' ti' kajakbale'ex tu yotoche'	Teche' ti' kajakbalech tu yotoche'	PERSON:2_SI
Jach k'a'abéet u bin tu k'íiwikil koonol	Jach k'a'abéet a bine'ex tu k'íiwikil koonol	PERSON:2_PL
Leti'e' yaan wáaj meyaj ti' biología	Te'exe' yaante'ex wáaj meyaj ti' biología	PERSON:2_PL
Teche' áak'ab ka bin tu k'íiwikil koonol	Teche' áak'ab ka bin tu k'íiwikil koonol	NOCHANGE
Taak in manik ya'abach ba'alo'ob tu k'íiwikil koonol	Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:COM
Teche' ka báaxal tu naajil xook	Teche' ka báaxal tu naajil xook	NOCHANGE
Yaan wáaj u xook tu naajil xook	Yaan wáaj u xooko'ob tu naajil xook	PERSON:3_PL
Teche' ti' kajakbalech tu yotoche'	Te'exe' ti' kajakbale'ex tu yotoche'	PERSON:2_PL
Ook'in u bino'ob k'íiwikil koonol	Ook'in a bin tu k'íiwikil koonol	PERSON:2_SI
Te'exe' yaante'ex xook ti' español	To'onen yaanto'on xook ti' español	PERSON:1_PL
Ma' táan a bine'ex koonol merkaadoi'	Ma' táan a bine'ex koonol merkaadoi'	NOCHANGE
Teche' ka bin paak'áal ich kool	Te'exe' ka taale'ex paak'áal ich kool	PERSON:2_PL
Táan a suut tu naajil xook	Táan k suut tu naajil xook	PERSON:1_PL
Kin wilike'ex merkaado	Kin wilike'ex merkaado	NOCHANGE
Ts'o'ok in manik ya'abach ba'alob tu k'íiwikil koonol	Táant in manik ya'abach ba'alo'ob tu k'íiwikil koonole'	ASPECT:IMM;TENSE:PAS_SIM
Leti'e' ajkoonol	Teche' ajkoonolech	PERSON:2_SI
Ma' ta wu'uyike'ex ooxoli'	Ma' ta wu'uyike'ex ooxoli'	NOCHANGE
Táan k xook tu naajil xook	Táan u xooko'ob tu naajil xook	PERSON:3_PL
Ba'ax ja'abil jsíijij	Ba'ax ja'abil jsíije'ex	PERSON:2_PL
Táan k bin koonol merkaado	Táan u bin koonol merkaado	PERSON:3_SI
Te'exe' ka wu'uyike'ex wáaj ooxol	To'one' k u'uyik wáaj ooxol	PERSON:1_PL
Ma' ts'oka'an a beeli'	Ma' ts'oka'an k beeli'	PERSON:1_PL
Yaan wáaj u báaxalo'ob tu naajil báaxal	Yaan wáaj k báaxal tu naajil báaxal	PERSON:1_PL
Sáansamal ku bin merkaado	Sáansamal ka bin merkaado	PERSON:2_SI
Teche' Yaan tech u áanalte'il a xook matemáticas	Teche' Yaan tech u áanalte'il a xook matemáticas	NOCHANGE
Mix leti' kajakbal ta wotoch	Ma' kajakbale'ex tin wotochi'	PERSON:2_PL
Yaan wáaj u manik u najil	Mix tu manik u najil	TYPE:NEG;SUBTYPE:DEC;PERSON:3_SI
To'onen yaanto'on wáaj meyaj ti' biología	To'onen yaanto'on wáaj meyaj ti' biología	NOCHANGE
Káaj in suut koonol merkaado	Káaj in suut koonol merkaado	NOCHANGE
To'one' k u'uyik wáaj ooxol	ku yu'ubik wáaj ooxol	PERSON:3_SI
Yaan k boon tu naajil xook	Yaan u boon tu naajil xook	PERSON:3_SI
To'one' ts'oka'an wáaj k beel	Leti'obe' ts'oka'an wáaj u beelo'ob	PERSON:3_PL
Yaan wáaj a bine'ex koonol merkaado	Yaan wáaj u bino'ob koonol merkaado	PERSON:3_PL
Táan u meyajo'ob ich kool	Táan u meyajo'ob ich kool	NOCHANGE
Yaan wáaj k báaxal tu naajil báaxal	Yaan wáaj a báaxale'ex báaxal tu naajil báaxal	PERSON:2_PL
Teche' a k'aaba'e'	Leti'e' u k'aaba'e'	ASPECT:HAB;PERSON:3_SI
Tin wilaj u sáastal tin kaajal	Tin wilaj u sáastal tin kaajal	NOCHANGE
Ma' táan a bine'ex ich kooli'	Ma' táan ek bin ich kooli'	PERSON:1_PL
Te' a taale'ex tu kaajil Kopomae'	Te' k taal tu kaajil Kopomae'	PERSON:1_PL
Táan a boon tu naajil xook	Táan a boon tu naajil xook	NOCHANGE
Te'exe' yaante'ex meyaj biología	Leti'e' yaan meyaj ti' biología	PERSON:3_SI
Táan wáaj u xooko'ob tu naajil xook	Táan wáaj k xook tu naajil xook	PERSON:1_PL
Leti'obe' u k'aaba'obe'	Leti'obe' u k'aaba'obe'	NOCHANGE
Ma' kajakbale'ex tin wotochi'	Mix teech kajakbalech ta wotoch	PERSON:2_SI
Ma' u yojel u ja'abili'	Ma' k ojel u ja'abili'	PERSON:1_PL
Jach k'a'abéet wáaj u bin tu k'íiwikil koonol	Jach k'a'abéet wáaj a bine'ex tu k'íiwikil koonol	PERSON:2_PL
Tan k k'íilkab	Tan a k'íilkab	PERSON:2_SI
Jach wáaj k'a'abéet in bin merkaado	Jach wáaj k'a'abéet in bin merkaado	NOCHANGE
Yaan wáaj k báaxal tu naajil báaxal	Yaan wáaj k báaxal tu naajil báaxal	NOCHANGE
Leti'e' yaan meyaj ti' biología	Teche' Yaan tech meyaj biología	PERSON:2_SI
Káaj in manik ya'abach ba'alob tu k'íiwikil koonol	Táant in manik ya'abach ba'alo'ob tu k'íiwikil koonole'	ASPECT:IMM;TENSE:PAS_SIM
Ta'aytak k chukik u ja'abil	Ta'aytak u chukiko'ob u ja'abil	PERSON:3_PL
Leti'obe' táan u bino'ob koonol tu k'íiwikil koonol	Táan k bin koonol tu k'íiwikil koonol	PERSON:1_PL
Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Jach k'a'abéet a bin ich kool	Jach k'a'abéet a bin ich kool	NOCHANGE
Tu'ux k'íiwikil koonol k'a'abéet a jóok'ol koonol	Tu'ux k'íiwikil koonol suuk a jóok'ol koonol	ASPECT:CUS
Jach k'a'abéet u bino'ob merkaado	Jach k'a'abéet in bin merkaado	PERSON:1_SI
Táan u báaxalo'ob tu naajil báaxal	Táan u báaxalo'ob tu naajil báaxal	NOCHANGE
Táan u xook tu naajil xook	Táan a xooke'ex xook tu naajil xook	PERSON:2_PL
Táan in manik ya'abach ba'alob tu k'íiwikil koonol	Táant in manik ya'abach ba'alo'ob tu k'íiwikil koonole'	ASPECT:IMM;TENSE:PAS_SIM
Yaan wáaj u bin koonol merkaado	Yaan wáaj a bine'ex koonol merkaado	PERSON:2_PL
Leti'e' ku bin xíimbal ta wotoch	To'one' kek bin xíimbal ta wotoch	PERSON:1_PL
Táan in manik ja'as tu k'íiwikil koonol	Táan in manik ja'as tu k'íiwikil koonol	NOCHANGE
Ma' in wa'alik u k'aaba'	Ma' in wa'alik u k'aaba'	NOCHANGE
Yaan k báaxal tu naajil báaxal	Yaan u báaxalo'ob tu naajil báaxal	PERSON:3_PL
Táan u kaaxtik a wotoch	Táan ek kaxtik a wotoch	PERSON:1_PL
Ma' táan u bino'ob koonol merkaadoi'	Ma' táan u bino'ob koonol merkaadoi'	NOCHANGE
Ma' ts'oka'an u beeli'	Ma' ts'oka'an a beele'exi'	PERSON:3_PL
Teche' kajakbalech weye'	Te'exe' kajakbale'ex weye'	PERSON:2_PL
Máax yéetel suuk a bin koonol tu kúuchil báaxal	Máax yéetel táan a bin koonol tu kúuchil báaxal	SUBTYPE:DEC;ASPECT:PRG
Yaan wáaj a bin koonol merkaado	Yaan wáaj a bine'ex koonol merkaado	PERSON:2_PL
Ook'in in bin tu k'íiwikil koonol	Ook'in in bin tu k'íiwikil koonol	NOCHANGE
Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	NOCHANGE
te'exe' ka báaxale'ex tu naajil xook	leti'e ku báaxal tu naajil xook	PERSON:3_SI
Ma' tan u k'íilkabo'obi'	Ma' tan k k'íilkabi'	PERSON:1_PL
Mix leti' kajakbal ta wotoch	Mix leti'ob kajakbalo'ob ta wotoch	PERSON:3_PL
Sáansamal ka bin merkaado	Sáansamal ka bin merkaado	NOCHANGE
Leti'e' ti' kajakbal tu yotoche'	Te'exe' ti' kajakbale'ex tu yotoche'	PERSON:2_PL
To'one' k u'uyik wáaj ooxol	Te'exe' ka wu'uyike'ex wáaj ooxol	PERSON:2_PL
Táan k bin koonol merkaado	Táan a bine'ex koonol merkaado	PERSON:2_PL
Tek núukaj buka'aj k ja'abil	Ta núukaje'ex buka'aj a ja'abile'ex	PERSON:2_PL
Táan wáaj u bino'ob koonol tu k'íiwikil koonol	Táan wáaj u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Táan wáaj u xooko'ob tu naajil xook	Táan wáaj a xooke'ex xook tu naajil xook	PERSON:2_PL
Táan a suute'ex xook tu naajil xook	Táan a suut tu naajil xook	PERSON:2_SI
Ts'o'ok wáaj in jóok'ol koonol tu k'íiwikil koonol	Yaan wáaj in jóok'ol koonol tu k'íiwikil koonol	ASPECT:COM;TENSE:FUT_SIM
Ma' ts'oka'an in beeli'	Ma' ts'oka'an in beeli'	NOCHANGE
Ma' k'aja'ante'ex buka'aj a ja'abile'exi'	Ma' k'aja'anti' buka'aj u ja'abili'	PERSON:3_SI
Táan u kaxtik a najil	Táan u kaxtik a najil	NOCHANGE
Yaan a xooke'ex xook tu naajil xook	Yaan u xook tu naajil xook	PERSON:3_SI
Ma' k'aja'anti'ob buka'aj u ja'abilo'obi'	Ma' k'aja'anti' buka'aj u ja'abili'	PERSON:3_SI
Teche' ti' kajakbalech tu yotoche'	Leti'e' ti' kajakbal tu yotoche'	PERSON:3_SI
Táan u bin koonol tu k'íiwikil koonol	Leti'obe' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Teche' áak'ab wáaj ka bin merkaado	Teche' áak'ab wáaj ka bin merkaado	NOCHANGE
Ma' wáaj in chuk u ja'abili'	Ma' wáaj in chuk u ja'abili'	NOCHANGE
Leti'obe' u jatsmajuba'ob	Te'exe' a jatsmajaba'ex	PERSON:2_PL
Táan k bin koonol tu k'íiwikil koonol	Leti'obe' táan u bino'ob koonol tu k'íiwikil koonol	PERSON:3_PL
Ma' suuk in bin maan tu k'íiwikil koonoli'	Ma' káaj in bin maan tu k'íiwikil koonoli'	ASPECT:BEG;TENSE:PAS_SIM
Te'exe' yaante'ex meyaj biología	Te'exe' yaante'ex meyaj biología	NOCHANGE
Yaan u xooko'ob tu naajil xook	Yaan u xook tu naajil xook	PERSON:3_SI
Ma' ts'oka'an a beeli'	Ma' ts'oka'an u beelo'obi'	PERSON:3_PL
Ma' táan k bin koonol tu k'íiwikil koonol	Ma' táan k bin koonol tu k'íiwikil koonol	NOCHANGE
Táan u báaxal tu naajil báaxal	Táan u báaxalo'ob tu naajil báaxal	PERSON:3_PL
Táan u boon tu naajil xook	Táan a boone'ex xook tu naajil xook	PERSON:2_PL
Taak in suut koonol merkaado	K'a'abéet in suut koonol merkaado	ASPECT:OBL
Suuk in manik ya'abach ba'alob tu k'íiwikil koonol	Je'el in manik ya'abach ba'alob tu k'íiwikil koonole'	ASPECT:INS
Táan a bin koonol merkaado	Táan a bine'ex koonol merkaado	PERSON:2_PL
Leti'e' yaan xook ti' español	Te'exe' yaante'ex xook ti' español	PERSON:2_PL
Táan u kaxtiko'ob a naajil	Táan ek kaxtik a najil	PERSON:1_PL
Yaan wáaj u xooko'ob tu naajil xook	Yaan wáaj u xooko'ob tu naajil xook	NOCHANGE
Ma' tin konaj in najili'	Ma' tin konaj in najili'	NOCHANGE
Tu'ux k'íiwikil koonol káaj a jóok'ol koonol	Tu'ux k'íiwikil koonol káaj a jóok'ol koonol	NOCHANGE
Máax yéetel táan a bin koonol tu kúuchil báaxal	Máax yéetel táan a bin koonol tu kúuchil báaxal	NOCHANGE
Jach k'a'abéet wáaj u bin tu k'íiwikil koonol	Jach k'a'abéet wáaj u bino'ob tu k'íiwikil koonol	PERSON:3_PL
Yaan u xook tu naajil xook	Yaan a xook tu naajil xook	PERSON:2_SI
Táan k bin koonol tu k'íiwikil koonol	Táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Tin meentik janal tin wotoch	Tin meentik janal tin wotoch	NOCHANGE
Tu núukaj buka'aj u ja'abil	Ta núukaj buka'aj a ja'abil	PERSON:2_SI
To'onen yaanto'on u áanalte'il k xook matemáticas	Teche' Yaan tech u áanalte'il a xook matemáticas	PERSON:2_SI
Táan in manik ya'abach ba'alob tu k'íiwikil koonol	Táan in manik ya'abach ba'alob tu k'íiwikil koonol	NOCHANGE
Jach k'a'abéet a bine'ex merkaado	Jach k'a'abéet u bino'ob merkaado	PERSON:3_PL
Táant in suut koonol merkaadoe'	Táant in suut koonol merkaadoe'	NOCHANGE
Jach k'a'abéet wáaj u bin ich kool	Jach k'a'abéet wáaj u bin ich kool	NOCHANGE
Táan wáaj k bin koonol tu k'íiwikil koonol	Táan wáaj u bin koonol tu k'íiwikil koonol	PERSON:3_SI
Leti'e' ku bin paak'áal ich kool	Leti'e' ku bin paak'áal ich kool	NOCHANGE
Táan ek meyaj ich kool	Táan a meyaj ich kool	PERSON:2_SI
K'aaynajech tu naajil xook	k'aaynajo'ob tu naajil xook	PERSON:3_PL
Ma' ta wiliken merkaado	Ma' ta wiliken merkaado	NOCHANGE
Ma' táan u bin ich kooli'	Ma' táan a bin ich kooli'	PERSON:2_SI
Leti'e' u k'aaba'e'	Teche' a k'aaba'e'	ASPECT:HAB;PERSON:2_SI
Kin manik nikte'ob tu k'íiwikil koonol	Ts'o'ok in manik janal tu k'íiwikil koonol	ASPECT:TER;TENSE:PAS_SIM
Taak in suut koonol merkaado	Ts'o'ok in suut koonol merkaado	ASPECT:TER;TENSE:PAS_SIM
Ma' tin kaxtaj a wotochi'	Ma' tin kaxtaj a wotochi'	NOCHANGE
Tu'ux k'íiwikil koonol taak a jóok'ol koonol	Tu'ux k'íiwikil koonol yaan a jóok'ol koonol	ASPECT:COM
Táan a boone'ex xook tu naajil xook	Táan a boone'ex xook tu naajil xook	NOCHANGE
Táan u suut tu naajil xook	Táan u suut tu naajil xook	NOCHANGE
to'one' k báaxal tu naajil xook	to'one' k báaxal tu naajil xook	NOCHANGE
ku ts'íibo'ob tu naajil xook	ku ts'íibo'ob tu naajil xook	NOCHANGE
Tu yilo'ob wáaj u sáastal tu kaajalo'ob	Tu yilo'ob wáaj u sáastal tu kaajalo'ob	NOCHANGE
K'aaynajech tu naajil xook	k'aaynaje'ex tu naajil xook	PERSON:2_PL
Kin in suut koonol merkaado	Ts'o'ok in suut koonol merkaado	ASPECT:TER;TENSE:PAS_SIM
Táan wáaj u boon tu naajil xook	Táan wáaj u boono'ob tu naajil xook	PERSON:3_PL
Ma' táan k bin koonol tu k'íiwikil koonol	Leti'e' ma' táan u bin koonol tu k'íiwikil koonol	PERSON:3_SI
K'a'abéet in manik ya'abach ba'alob tu k'íiwikil koonol	Yaan in manik ya'abach ba'alob tu k'íiwikil koonol	ASPECT:COM
Tin konaj in wotoch	Tin konaj in wotoch	NOCHANGE
Taak in bin koonol tu k'íiwikil koonol	Yaan in bin koonol tu k'íiwikil koonol	ASPECT:COM
Te'exe' táan a bine'ex koonol tu k'íiwikil koonol	Te'exe' táan a bine'ex koonol tu k'íiwikil koonol	NOCHANGE
te'exe' ka báaxale'ex tu naajil xook	to'one' k báaxal tu naajil xook	PERSON:1_PL
Ki'imak in wóol in bin ich kool	Ki'imak in wóol in bin ich kool	NOCHANGE
Ba'ax ja'abil jsíijen	Ba'ax ja'abil jsíijen	NOCHANGE
