Source	Change	Target
Ma' jach k'a'abéet in bin tu k'íiwikil koonoli'	PERSON:3_SI	Ma' jach k'a'abéet u bin k'íiwikil koonoli'
Ma' jach k'a'abéet in bin tu k'íiwikil koonoli'	PERSON:3_PL	Ma' jach k'a'abéet u bino'ob tu k'íiwikil koonoli'
Ma' jach k'a'abéet in bin tu k'íiwikil koonoli'	PERSON:2_PL	Ma' jach k'a'abéet a bine'ex k'íiwikil koonoli'
Táan in boon tu naajil xook	PERSON:2_SI	Táan a boon tu naajil xook
Táan in boon tu naajil xook	PERSON:3_SI	Táan u boon tu naajil xook
Táan in boon tu naajil xook	PERSON:1_PL	Táan k boon tu naajil xook
Táan in boon tu naajil xook	PERSON:2_PL	Táan a boone'ex xook tu naajil xook
Táan in boon tu naajil xook	PERSON:3_PL	Táan u boono'ob tu naajil xook
Yaan wáaj in bin koonol merkaado	PERSON:2_SI	Yaan wáaj a bin koonol merkaado
Yaan wáaj in bin koonol merkaado	PERSON:3_SI	Yaan wáaj u bin koonol merkaado
Yaan wáaj in bin koonol merkaado	PERSON:3_PL	Yaan wáaj u bino'ob koonol merkaado
Yaan wáaj in bin koonol merkaado	PERSON:2_PL	Yaan wáaj a bine'ex koonol merkaado
Yaan wáaj in bin koonol merkaado	PERSON:1_PL	Yaan wáaj k bin koonol merkaado
Tene' áak'ab kin bin merkaado	PERSON:2_SI	Teche' áak'ab ka bin merkaado
Tene' áak'ab kin bin merkaado	PERSON:3_SI	Leti'e' áak'ab ku bin merkaado
Tene' áak'ab kin bin merkaado	PERSON:1_PL	To'one' áak'ab kek bin merkaado
Tene' áak'ab kin bin merkaado	PERSON:2_PL	Te'exe' áak'ab ka bine'ex merkaado
Tan k k'íilkab	TYPE:NEG	Ma' tan k k'íilkabi'
Yaan wáaj in bin ich kool	PERSON:2_SI	Yaan wáaj a bin ich kool
Yaan wáaj in bin ich kool	PERSON:3_SI	Yaan wáaj u bin ich kool
Yaan wáaj in bin ich kool	PERSON:3_PL	Yaan wáaj u bino'ob ich kool
Yaan wáaj in bin ich kool	PERSON:2_PL	Yaan wáaj a bine'ex ich kool
Yaan wáaj in bin ich kool	PERSON:1_PL	Yaan wáaj ek bin ich kool
Tene' kajakbalen weye'	PERSON:2_SI	Teche' kajakbalech weye'
Tene' kajakbalen weye'	PERSON:3_SI	Leti'e' kajakbal weye'
Tene' kajakbalen weye'	PERSON:1_PL	To'one' kajakbalo'on weye'
Tene' kajakbalen weye'	PERSON:2_PL	Te'exe' kajakbale'ex weye'
Tene' kajakbalen weye'	PERSON:3_PL	Leti'obe' kajakbalo'ob weye'
Tene' kin báaxal tu naajil xook	PERSON:2_SI	Teche' ka báaxal tu naajil xook
Tene' kin báaxal tu naajil xook	PERSON:3_SI	leti'e ku báaxal tu naajil xook
Tene' kin báaxal tu naajil xook	PERSON:1_PL	to'one' k báaxal tu naajil xook
Tene' kin báaxal tu naajil xook	PERSON:2_PL	te'exe' ka báaxale'ex tu naajil xook
Bajux ta bo'otaj ka ts'íibta'abech naajil xook	PERSON:3_PL	Bajux tu bo'oto'ob ka ts'íibta'abo'ob naajil xook
Táan a boon tu naajil xook	"SUBTYPE:INT, PERSON:1_SI"	Táan wáaj a boon tu naajil xook
Táan in báaxal tu naajil báaxal	PERSON:2_SI	Táan a báaxal tu naajil báaxal
Táan in báaxal tu naajil báaxal	PERSON:3_SI	Táan u báaxal tu naajil báaxal
Táan in báaxal tu naajil báaxal	PERSON:1_PL	Táan k báaxal tu naajil báaxal
Táan in báaxal tu naajil báaxal	PERSON:2_PL	Táan a báaxale'ex báaxal tu naajil báaxal
Táan in báaxal tu naajil báaxal	PERSON:3_PL	Táan u báaxalo'ob tu naajil báaxal
Tene' áak'ab kin bin tu k'íiwikil koonol	SUBTYPE:INT	Tene' áak'ab wáaj kin bin tu k'íiwikil koonol
Tene' áak'ab kin bin tu k'íiwikil koonol	"TYPE:NEG, SUBTYPE:INT"	Tene' ma' áak'ab wáaj kin bin tu k'íiwikil koonoli'
Yaan in k'aay te' paarkéeo'	SUBTYPE:INT	Yaan wáaj in k'aay te' paarkéeo'
Jbinen yéetel in éetailo'ob tu k'íiwikil koonol	PERSON:2_SI	Jbinech yéetel a éetailo'ob tu k'íiwikil koonol
Jbinen yéetel in éetailo'ob tu k'íiwikil koonol	PERSON:3_PL	Leti'obe' jbino'ob yéetel u éetailo'ob tu k'íiwikil koonol
Jbinen yéetel in éetailo'ob tu k'íiwikil koonol	PERSON:2_PL	Te'exe' jbine'ex yéetel a éetailo'ob tu k'íiwikil koonol
Táan u boon tu naajil xook	SUBTYPE:INT	Táan wáaj u boon tu naajil xook
Ta wile'ex u sáastal ta kaajale'ex	TYPE:NEG	Ma' ta wile'ex u sáastal ta kaajale'exi'
Ta wile'ex u sáastal ta kaajale'ex	SUBTYPE:INT	Ta wile'ex wáaj u sáastal ta kaajale'ex
Ta'aytak u chukiko'ob u ja'abil	"TYPE:NEG, MODE:SUB, ADVTENSE:NA"	Ma' u chuko'ob u ja'abili'
Ta'aytak u chukiko'ob u ja'abil	"TYPE:NEG, SUBTYPE:INT, MODE:SUB, ADVTENSE:NA, MARK:NI"	Ma' wáaj u chuko'ob u ja'abili'
Tene' ma' jbúuleni'	PERSON:2_SI	Teche' ma' jbúulechi'
Tene' ma' jbúuleni'	PERSON:3_SI	Leti'e' ma' jbúuli'
Tene' ma' jbúuleni'	PERSON:1_PL	To'one' ma' jbúulo'oni'
Tene' ma' jbúuleni'	PERSON:2_PL	Te'exe' ma' jbúule'exi'
Táan a bin koonol tu k'íiwikil koonol	TYPE:NEG	Ma' táan a bin koonol tu k'íiwikil koonoli'
Táan a bin koonol tu k'íiwikil koonol	SUBTYPE:INT	Táan wáaj a bin koonol tu k'íiwikil koonol
